"Date","Monthly average of official Bank Rate              [a] [b]             IUMABEDR"
"30 Apr 26","3.75"
"31 Mar 26","3.75"
"28 Feb 26","3.75"
"31 Jan 26","3.75"
"31 Dec 25","3.9048"
"30 Nov 25","4"
"31 Oct 25","4"
"30 Sep 25","4"
"31 Aug 25","4.05"
"31 Jul 25","4.25"
"30 Jun 25","4.25"
"31 May 25","4.3"
"30 Apr 25","4.5"
"31 Mar 25","4.5"
"28 Feb 25","4.5375"
"31 Jan 25","4.75"
"31 Dec 24","4.75"
"30 Nov 24","4.7976"
"31 Oct 24","5"
"30 Sep 24","5"
"31 Aug 24","5"
"31 Jul 24","5.25"
"30 Jun 24","5.25"
"31 May 24","5.25"
"30 Apr 24","5.25"
"31 Mar 24","5.25"
"29 Feb 24","5.25"
"31 Jan 24","5.25"
"31 Dec 23","5.25"
"30 Nov 23","5.25"
"31 Oct 23","5.25"
"30 Sep 23","5.25"
"31 Aug 23","5.2273"
"31 Jul 23","5"
"30 Jun 23","4.6591"
"31 May 23","4.425"
"30 Apr 23","4.25"
"31 Mar 23","4.0761"
"28 Feb 23","3.975"
"31 Jan 23","3.5"
"31 Dec 22","3.25"
"30 Nov 22","2.9318"
"31 Oct 22","2.25"
"30 Sep 22","1.9167"
"31 Aug 22","1.6818"
"31 Jul 22","1.25"
"30 Jun 22","1.1375"
"31 May 22","0.9762"
"30 Apr 22","0.75"
"31 Mar 22","0.6196"
"28 Feb 22","0.475"
"31 Jan 22","0.25"
"31 Dec 21","0.1714"
"30 Nov 21","0.1"
"31 Oct 21","0.1"
"30 Sep 21","0.1"
"31 Aug 21","0.1"
"31 Jul 21","0.1"
"30 Jun 21","0.1"
"31 May 21","0.1"
"30 Apr 21","0.1"
"31 Mar 21","0.1"
"28 Feb 21","0.1"
"31 Jan 21","0.1"
"31 Dec 20","0.1"
"30 Nov 20","0.1"
"31 Oct 20","0.1"
"30 Sep 20","0.1"
"31 Aug 20","0.1"
"31 Jul 20","0.1"
"30 Jun 20","0.1"
"31 May 20","0.1"
"30 Apr 20","0.1"
"31 Mar 20","0.3477"
"29 Feb 20","0.75"
"31 Jan 20","0.75"
"31 Dec 19","0.75"
"30 Nov 19","0.75"
"31 Oct 19","0.75"
"30 Sep 19","0.75"
"31 Aug 19","0.75"
"31 Jul 19","0.75"
"30 Jun 19","0.75"
"31 May 19","0.75"
"30 Apr 19","0.75"
"31 Mar 19","0.75"
"28 Feb 19","0.75"
"31 Jan 19","0.75"
"31 Dec 18","0.75"
"30 Nov 18","0.75"
"31 Oct 18","0.75"
"30 Sep 18","0.75"
"31 Aug 18","0.7386"
"31 Jul 18","0.5"
"30 Jun 18","0.5"
"31 May 18","0.5"
"30 Apr 18","0.5"
"31 Mar 18","0.5"
"28 Feb 18","0.5"
"31 Jan 18","0.5"
"31 Dec 17","0.5"
"30 Nov 17","0.4886"
"31 Oct 17","0.25"
"30 Sep 17","0.25"
"31 Aug 17","0.25"
"31 Jul 17","0.25"
"30 Jun 17","0.25"
"31 May 17","0.25"
"30 Apr 17","0.25"
"31 Mar 17","0.25"
"28 Feb 17","0.25"
"31 Jan 17","0.25"
"31 Dec 16","0.25"
"30 Nov 16","0.25"
"31 Oct 16","0.25"
"30 Sep 16","0.25"
"31 Aug 16","0.2841"
"31 Jul 16","0.5"
"30 Jun 16","0.5"
"31 May 16","0.5"
"30 Apr 16","0.5"
"31 Mar 16","0.5"
"29 Feb 16","0.5"
"31 Jan 16","0.5"
"31 Dec 15","0.5"
"30 Nov 15","0.5"
"31 Oct 15","0.5"
"30 Sep 15","0.5"
"31 Aug 15","0.5"
"31 Jul 15","0.5"
"30 Jun 15","0.5"
"31 May 15","0.5"
"30 Apr 15","0.5"
"31 Mar 15","0.5"
"28 Feb 15","0.5"
"31 Jan 15","0.5"
